,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.598,0.643,0,-6.933,1,0.0364,0.164,3.35e-05,0.0992,0.349,115.41,audio_features,4Yg2w0P29BBBMixyeNjDtj,spotify:track:4Yg2w0P29BBBMixyeNjDtj,https://api.spotify.com/v1/tracks/4Yg2w0P29BBBMixyeNjDtj,https://api.spotify.com/v1/audio-analysis/4Yg2w0P29BBBMixyeNjDtj,222533,4
1,0.381,0.141,1,-15.439,1,0.0384,0.857,1.13e-06,0.0995,0.18,131.76,audio_features,6NMz3Cjvod2qnJjakiRDA8,spotify:track:06qMRF18gwbOYYbnP2du6i,https://api.spotify.com/v1/tracks/6NMz3Cjvod2qnJjakiRDA8,https://api.spotify.com/v1/audio-analysis/6NMz3Cjvod2qnJjakiRDA8,191640,4
2,0.24,0.598,7,-8.435,1,0.0369,0.766,0.0,0.117,0.776,201.629,audio_features,5hslUAKq9I9CG2bAulFkHN,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,151933,3
3,0.321,0.64,2,-10.023,1,0.0324,0.28,0.0,0.718,0.414,146.172,audio_features,27RYrbL6S02LNVhDWVl38b,spotify:track:27qAMKrDdKEs8HDXcvR24R,https://api.spotify.com/v1/tracks/27RYrbL6S02LNVhDWVl38b,https://api.spotify.com/v1/audio-analysis/27RYrbL6S02LNVhDWVl38b,214333,3
4,0.208,0.247,7,-13.976,1,0.0313,0.971,0.000137,0.276,0.189,89.196,audio_features,703fzperBa4pQsFYAANQZf,spotify:track:1rv46mRwDqMEhOBZ7vODg3,https://api.spotify.com/v1/tracks/703fzperBa4pQsFYAANQZf,https://api.spotify.com/v1/audio-analysis/703fzperBa4pQsFYAANQZf,215760,4
5,0.68,0.393,10,-13.315,1,0.0364,0.818,0.000229,0.101,0.639,126.007,audio_features,520Jrg250xi0QXIKxFqK4n,spotify:track:6NMz3Cjvod2qnJjakiRDA8,https://api.spotify.com/v1/tracks/520Jrg250xi0QXIKxFqK4n,https://api.spotify.com/v1/audio-analysis/520Jrg250xi0QXIKxFqK4n,147293,4
6,0.336,0.26,8,-16.379,1,0.0388,0.962,0.00258,0.185,0.33,91.617,audio_features,2g5jb8hZkQpd6TwYv6ClP5,spotify:track:4yfIuAFG7rN2b4a3JqhVJS,https://api.spotify.com/v1/tracks/2g5jb8hZkQpd6TwYv6ClP5,https://api.spotify.com/v1/audio-analysis/2g5jb8hZkQpd6TwYv6ClP5,182667,3
7,0.663,0.201,6,-14.789,1,0.0372,0.834,0.0,0.111,0.453,94.879,audio_features,68EvOD5N4V9P9OxbA997Ln,spotify:track:0v2HESaEiiIu9q1cJi3wFn,https://api.spotify.com/v1/tracks/68EvOD5N4V9P9OxbA997Ln,https://api.spotify.com/v1/audio-analysis/68EvOD5N4V9P9OxbA997Ln,136421,4
8,0.418,0.106,8,-22.507,0,0.0448,0.994,0.0292,0.179,0.8,46.718,audio_features,4tHqQMWSqmL6YjXwsqthDI,spotify:track:0575XwaVF0ivamp5mPuYCg,https://api.spotify.com/v1/tracks/4tHqQMWSqmL6YjXwsqthDI,https://api.spotify.com/v1/audio-analysis/4tHqQMWSqmL6YjXwsqthDI,85267,4
9,0.452,0.366,0,-14.152,0,0.0415,0.833,0.0,0.0789,0.629,114.993,audio_features,4ricyQVd20UQde1jpXCSuJ,spotify:track:1XBc4r6ltXjkFJBrsttwIF,https://api.spotify.com/v1/tracks/4ricyQVd20UQde1jpXCSuJ,https://api.spotify.com/v1/audio-analysis/4ricyQVd20UQde1jpXCSuJ,133867,4
