,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.871,0.56,11,-9.214,1,0.0356,0.801,0.000382,0.124,0.939,101.421,audio_features,7FqTiv9gX26hiCjoRyBTdd,spotify:track:7FqTiv9gX26hiCjoRyBTdd,https://api.spotify.com/v1/tracks/7FqTiv9gX26hiCjoRyBTdd,https://api.spotify.com/v1/audio-analysis/7FqTiv9gX26hiCjoRyBTdd,82907,4
1,0.485,0.553,7,-8.602,1,0.0473,0.799,0.0,0.29,0.826,115.508,audio_features,3x53A20DcZX6AlXBqkbqos,spotify:track:0c74ZBuBLDM8EPeqKboz66,https://api.spotify.com/v1/tracks/3x53A20DcZX6AlXBqkbqos,https://api.spotify.com/v1/audio-analysis/3x53A20DcZX6AlXBqkbqos,122600,4
2,0.777,0.659,3,-12.862,1,0.0294,0.476,0.00303,0.0771,0.955,119.252,audio_features,2W7tzqjAPXG97RthXx6pNR,spotify:track:0uTImG08eijXTtYyG8kisA,https://api.spotify.com/v1/tracks/2W7tzqjAPXG97RthXx6pNR,https://api.spotify.com/v1/audio-analysis/2W7tzqjAPXG97RthXx6pNR,183827,4
3,0.489,0.196,5,-12.781,0,0.0402,0.892,0.0,0.137,0.541,129.76,audio_features,7BucvJsln7FNjWRHNWtMw5,spotify:track:6FDARjuebXcy08AMLLftRk,https://api.spotify.com/v1/tracks/7BucvJsln7FNjWRHNWtMw5,https://api.spotify.com/v1/audio-analysis/7BucvJsln7FNjWRHNWtMw5,166667,5
4,0.716,0.932,1,-2.989,0,0.0495,0.00627,0.0,0.347,0.779,107.983,audio_features,5YuLlTsWYK9uslUdGM83dJ,spotify:track:6JB4uUbg9ro29Q7xm4QUS8,https://api.spotify.com/v1/tracks/5YuLlTsWYK9uslUdGM83dJ,https://api.spotify.com/v1/audio-analysis/5YuLlTsWYK9uslUdGM83dJ,228733,4
5,0.718,0.702,1,-6.845,0,0.0324,0.0184,1.27e-05,0.388,0.357,103.934,audio_features,4GK4mydvnsodLEHWb4zJV4,spotify:track:3x53A20DcZX6AlXBqkbqos,https://api.spotify.com/v1/tracks/4GK4mydvnsodLEHWb4zJV4,https://api.spotify.com/v1/audio-analysis/4GK4mydvnsodLEHWb4zJV4,202410,4
6,0.44,0.529,8,-6.762,1,0.0278,0.471,0.0,0.12,0.336,152.025,audio_features,0lwJH1BDr8Z4wfXvi6yC9y,spotify:track:2bQAPgQ2U0cg9vzktGrwhp,https://api.spotify.com/v1/tracks/0lwJH1BDr8Z4wfXvi6yC9y,https://api.spotify.com/v1/audio-analysis/0lwJH1BDr8Z4wfXvi6yC9y,189560,4
7,0.528,0.44,1,-9.432,1,0.0273,0.294,3.72e-05,0.156,0.71,110.844,audio_features,7k0eCgFpeLEuExZYEmxwZc,spotify:track:3Vx96sIMEH0U9xovRyAvAh,https://api.spotify.com/v1/tracks/7k0eCgFpeLEuExZYEmxwZc,https://api.spotify.com/v1/audio-analysis/7k0eCgFpeLEuExZYEmxwZc,171533,4
8,0.753,0.446,0,-11.837,1,0.0706,0.266,3.05e-05,0.0751,0.723,153.935,audio_features,3ZW7IsHLlxX9fxEjCGqTrY,spotify:track:0mOZVrJKspRSr2gySLuoiT,https://api.spotify.com/v1/tracks/3ZW7IsHLlxX9fxEjCGqTrY,https://api.spotify.com/v1/audio-analysis/3ZW7IsHLlxX9fxEjCGqTrY,303853,4
9,0.787,0.562,7,-8.243,1,0.236,0.46,0.0,0.276,0.773,119.887,audio_features,1ia2oZRyfApKLJ2aIauj6w,spotify:track:1UljTZNjOmmVenXCaaPEwf,https://api.spotify.com/v1/tracks/1ia2oZRyfApKLJ2aIauj6w,https://api.spotify.com/v1/audio-analysis/1ia2oZRyfApKLJ2aIauj6w,99173,3
10,0.62,0.231,5,-14.02,1,0.039,0.811,0.000208,0.157,0.681,125.044,audio_features,6sEv89BYhfOA9QsVxKHrLa,spotify:track:2W7tzqjAPXG97RthXx6pNR,https://api.spotify.com/v1/tracks/6sEv89BYhfOA9QsVxKHrLa,https://api.spotify.com/v1/audio-analysis/6sEv89BYhfOA9QsVxKHrLa,191373,4
11,0.537,0.304,8,-15.141,1,0.0414,0.906,0.0036,0.102,0.611,140.202,audio_features,3RziapqS8nr6DiejCtI3cd,spotify:track:28TGtp6irVUZhTv5ytdex1,https://api.spotify.com/v1/tracks/3RziapqS8nr6DiejCtI3cd,https://api.spotify.com/v1/audio-analysis/3RziapqS8nr6DiejCtI3cd,180960,3
12,0.847,0.685,11,-5.12,0,0.215,0.178,0.0,0.502,0.782,101.775,audio_features,4bpqcGVSveDZ5E3rgr9v2y,spotify:track:1Taqw1VEHl8Gy9qAZtRLAq,https://api.spotify.com/v1/tracks/4bpqcGVSveDZ5E3rgr9v2y,https://api.spotify.com/v1/audio-analysis/4bpqcGVSveDZ5E3rgr9v2y,192973,4
