danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,audio_features,7k6IzwMGpxnRghE7YosnXT,spotify:track:7k6IzwMGpxnRghE7YosnXT,https://api.spotify.com/v1/tracks/7k6IzwMGpxnRghE7YosnXT,https://api.spotify.com/v1/audio-analysis/7k6IzwMGpxnRghE7YosnXT,192213,4
0.659,0.796,7,-6.278,1,0.0577,0.348,0.0,0.191,0.633,110.007,audio_features,4i8zqvK7eQpu3N2f3EPOUE,spotify:track:4i8zqvK7eQpu3N2f3EPOUE,https://api.spotify.com/v1/tracks/4i8zqvK7eQpu3N2f3EPOUE,https://api.spotify.com/v1/audio-analysis/4i8zqvK7eQpu3N2f3EPOUE,214800,4
0.516,0.909,1,-3.988,0,0.22,0.167,0.0,0.552,0.472,169.972,audio_features,56z8UyE4foPVnSrER7lVR5,spotify:track:56z8UyE4foPVnSrER7lVR5,https://api.spotify.com/v1/tracks/56z8UyE4foPVnSrER7lVR5,https://api.spotify.com/v1/audio-analysis/56z8UyE4foPVnSrER7lVR5,219659,4
0.763,0.53,5,-5.554,0,0.0577,0.272,0.0,0.16,0.469,97.033,audio_features,1uH1Nd8vet2uoZSDFSDwbh,spotify:track:1uH1Nd8vet2uoZSDFSDwbh,https://api.spotify.com/v1/tracks/1uH1Nd8vet2uoZSDFSDwbh,https://api.spotify.com/v1/audio-analysis/1uH1Nd8vet2uoZSDFSDwbh,231893,4
0.526,0.328,1,-9.864,1,0.0461,0.694,0.0,0.112,0.11,116.068,audio_features,0SZVxJIfQa63kFH6NdTB22,spotify:track:0SZVxJIfQa63kFH6NdTB22,https://api.spotify.com/v1/tracks/0SZVxJIfQa63kFH6NdTB22,https://api.spotify.com/v1/audio-analysis/0SZVxJIfQa63kFH6NdTB22,526387,4
0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,audio_features,4L7jMAP8UcIe309yQmkdcO,spotify:track:4L7jMAP8UcIe309yQmkdcO,https://api.spotify.com/v1/tracks/4L7jMAP8UcIe309yQmkdcO,https://api.spotify.com/v1/audio-analysis/4L7jMAP8UcIe309yQmkdcO,234093,4
0.627,0.703,0,-4.884,1,0.236,0.563,0.0,0.0962,0.64,81.897,audio_features,6jizk5lOUnfpaZXYMdfeC6,spotify:track:6jizk5lOUnfpaZXYMdfeC6,https://api.spotify.com/v1/tracks/6jizk5lOUnfpaZXYMdfeC6,https://api.spotify.com/v1/audio-analysis/6jizk5lOUnfpaZXYMdfeC6,217307,4
0.596,0.492,1,-5.903,1,0.089,0.0277,1.45e-06,0.08,0.546,99.107,audio_features,3JsPQbdGRRN6C7n8OsNTnj,spotify:track:3JsPQbdGRRN6C7n8OsNTnj,https://api.spotify.com/v1/tracks/3JsPQbdGRRN6C7n8OsNTnj,https://api.spotify.com/v1/audio-analysis/3JsPQbdGRRN6C7n8OsNTnj,264400,4
0.646,0.833,2,-4.882,1,0.0375,0.0195,0.736,0.104,0.329,128.02,audio_features,1E2tRwT1GIHk1a8oYQMfjC,spotify:track:1E2tRwT1GIHk1a8oYQMfjC,https://api.spotify.com/v1/tracks/1E2tRwT1GIHk1a8oYQMfjC,https://api.spotify.com/v1/audio-analysis/1E2tRwT1GIHk1a8oYQMfjC,170920,4
0.733,0.652,7,-9.101,1,0.0696,0.419,2.37e-06,0.521,0.459,99.998,audio_features,4VDdJerVMzEs04gWuGrUg8,spotify:track:4VDdJerVMzEs04gWuGrUg8,https://api.spotify.com/v1/tracks/4VDdJerVMzEs04gWuGrUg8,https://api.spotify.com/v1/audio-analysis/4VDdJerVMzEs04gWuGrUg8,200093,4
0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,audio_features,3ibKnFDaa3GhpPGlOUj7ff,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/tracks/3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/audio-analysis/3ibKnFDaa3GhpPGlOUj7ff,256733,4
